region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Новгородская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 19 , 1 091 , - , 115 870 
Новгородская область,СЗФО,2021,Всего,59, 21 , 1 425 , 1 134 644 , 167 400 
Новосибирская область,СФО,2021,Всероссийские молодeжные форумы,55,,,,
Новосибирская область,СФО,2021,Окружные молодeжные форумы,56,,,,
Новосибирская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 282 , 3 550 000 , - 
Новосибирская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 21 , 2 186 , - , 727 388 
Новосибирская область,СФО,2021,Всего,59, 22 , 2 468 , 3 550 000 , 727 388 
Омская область,СФО,2021,Всероссийские молодeжные форумы,55,,, 2 981 420 ,
Омская область,СФО,2021,Окружные молодeжные форумы,56,,,,
Омская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 600 ,, 551 650 
Омская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 8 , 1 400 ,, 72 000 
Омская область,СФО,2021,Всего,59, 9 , 2 000 , 2 981 420 , 623 650 
Оренбургская область,ПФО,2021,Всероссийские молодeжные форумы,55, 1 , 850 , 65 707 750 , 19 000 
Оренбургская область,ПФО,2021,Окружные молодeжные форумы,56,, 305 , 184 973 , - 
Оренбургская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 392 , 3 688 700 , 142 941 
Оренбургская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 8 , 644 , - , 64 110 
Оренбургская область,ПФО,2021,Всего,59, 15 , 2 191 , 69 581 423 , 226 051 
Орловская область,ЦФО,2021,Всероссийские молодeжные форумы,55,,, 120 872 ,
Орловская область,ЦФО,2021,Окружные молодeжные форумы,56, 2 , 1 500 , 257 123 ,
Орловская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 800 , 327 100 ,
Орловская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 32 , 764 ,, 85 277 
Орловская область,ЦФО,2021,Всего,59, 37 , 3 064 , 705 095 , 85 277 
Пензенская область,ПФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Пензенская область,ПФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Пензенская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 150 , 2 447 700 , - 
Пензенская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 24 , 3 802 , - , 285 374 
Пензенская область,ПФО,2021,Всего,59, 25 , 3 952 , 2 447 700 , 285 374 
Пермский край,ПФО,2021,Всероссийские молодeжные форумы,55,, - , 3 267 442 , - 
Пермский край,ПФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Пермский край,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 7 , 11 889 , 16 532 780 , 266 900 
Пермский край,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 54 , 8 227 , 1 148 500 , 1 283 974 
Пермский край,ПФО,2021,Всего,59, 61 , 20 116 , 20 948 722 , 1 550 874 
Приморский край,ДФО,2021,Всероссийские молодeжные форумы,55, 1 , 343 , 10 785 522 ,
Приморский край,ДФО,2021,Окружные молодeжные форумы,56,,,,
Приморский край,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 886 , 1 872 100 ,
Приморский край,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 26 , 663 ,, 340 227 
Приморский край,ДФО,2021,Всего,59, 30 , 1 892 , 12 657 622 , 340 227 
Псковская область,СЗФО,2021,Всероссийские молодeжные форумы,55, 9 , 68 , 150 000 , 122 335 
Псковская область,СЗФО,2021,Окружные молодeжные форумы,56, 10 , 41 , 200 000 , 8 750 
